listing-title,agent,area,district,sub-district,land-size,bedroom,bathroom,listing-price,cluster
dijual rumah di jual bagus nyaman asri di bintaro jaya sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,180,4,4,2500000000.0,0
dijual rumah di jual bagus minimalis di bintaro sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,200,5,5,4200000000.0,2
dijual rumah di jual bagus modern industrial kolam renang di emerald bintaro jaya sektor 9 tangerang selata,pradana ,Bintaro,,Bintaro,350,5,6,6900000000.0,2
dijual rumah di jual mewah modern tropis kolam renang di bintaro jaya sektor 3,pradana ,Bintaro,,Bintaro,283,5,5,7900000000.0,2
dijual rumah di jual bagus minimalis di bintaro sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,125,5,3,2300000000.0,0
dijual turun harga rumah cantik 2 lantai cluster bohemia gading serpong,eva maria ,Gading Serpong,Serpong,Serpong,107,4,4,2100000000.0,0
dijual rumah di jual bagus nyaman asri di bintaro jaya sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,90,3,2,1690000000.0,0
dijual rumah di jual modern minimalis di bintaro jaya sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,140,4,3,1900000000.0,0
dijual rumah minimalis lingkungan cluster di area paradise resort arya putra ciputat,teguh riyanto ,,Ciputat,Ciputat,69,3,2,1550000000.0,0
dijual rumah minimalis dalam cluster di ciputat,teguh riyanto ,,Ciputat,Ciputat,57,3,2,1400000000.0,0
dijual bsd city puspita loka,fifi ,BSD,Serpong,Lengkong Gudang,230,4,3,3000000000.0,2
dijual rumah mewah bagus siap huni di graha raya bintaro,teguh riyanto ,Serpong,Serpong,Serpong Utara,260,7,4,2250000000.0,2
dijual townhouse dijual ciputat tangerang selatan rumah modern minimalis tangerang selatan dega rwgpi,andrio dega saputra ,,Ciputat,Ciputat,150,4,2,2500000000.0,0
dijual griya loka lengkong gudang timur serpong tangerang selatan,kardi poenadi ,BSD,,,140,4,3,2749999999.0,0
dijual bsd de latinos,aldo ,BSD,,,120,3,2,2000000000.0,0
dijual rumah di jual murah bagus luas di bintaro sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,200,5,4,2700000000.0,2
dijual rumah di jual bagus siap huni di bintaro sektor 9 tangerang selatan,pradana ,Bintaro,,Bintaro,130,4,3,3000000000.0,0
dijual discovery residence bintaro,pradana ,Bintaro,,Bintaro,156,5,4,3300000000.0,0
dijual rumah di jual murah mewah luas di puspita loka bsd tangerang selatan,pradana ,BSD,,,300,6,3,3750000000.0,2
dijual rumah di jual bagus hook asri nyaman di bsd tangerang selatan,pradana ,BSD,,,270,6,3,3850000000.0,2
dijual rumah bagus mewah 2 lantai siap huni di bsd city,pradana ,BSD,,,300,5,6,4500000000.0,2
dijual rumah di jual murah mewah luas di puspita loka bsd,pradana ,BSD,,,240,6,4,5500000000.0,2
dijual rumah di jual mewah murah luas di taman giri loka bsd,pradana ,BSD,,,194,5,4,4375000000.0,2
dijual dijual rumah dalam cluster promo dp 5 langsung akad bsd,nanni rahayu ,Bintaro,,Bintaro,115,5,4,2098069498.0,0
dijual dijual rumah hoek siap huni cantik di jombang pondok aren tangerang selatan,sri aisah malik ,,Pondok Aren,Pondok Aren,125,4,4,2200000000.0,0
dijual dijual rumah minimalis siap huni dalam cluster di jombang pondok aren tangerang selatan,sri aisah malik ,,Pondok Aren,Pondok Aren,119,4,4,1800000000.0,0
dijual lestari ciputat,feni arini ,,Ciputat,Ciputat,170,4,4,2200000000.0,0
dijual rumah dalam cluster mewah kebayoran bintaro,santi ,Bintaro,,Bintaro,250,4,3,8500000000.0,2
dijual rumah cluster bohemia gading serpong tangerang banten,yenny ,Gading Serpong,Serpong,Serpong,150,4,4,2150000000.0,0
dijual hunian cantik lingkungan asri nyaman strategis di kebayoran residence bintaro,santi ,Bintaro,,Bintaro,221,5,4,6500000000.0,2
dijual hot sale kebayoran bintaro,santi ,Bintaro,,Bintaro,88,3,2,2300000000.0,0
dijual hot sale kebayoran bintaro,santi ,Bintaro,,Bintaro,249,4,3,5600000000.0,2
dijual rumah mewah di kebayoran bintaro,santi ,Bintaro,,Bintaro,502,5,4,17000000000.0,1
dijual magani residence 4 pamulang,ogi irawan ,Pamulang,Pamulang,,66,3,2,800000000.0,0
dijual hot sale kebayoran residence bintaro,santi ,Bintaro,,Bintaro,320,5,3,6350000000.0,2
dijual kebayoran bintaro,santi ,Bintaro,,Bintaro,290,4,3,8300000000.000001,2
dijual rumah dijual zora bsd serpong mewah renovasi furnished,leonardi tanzil ,BSD,,,236,4,5,6500000000.0,2
dijual brand new sektor 9 bintaro,santi ,Bintaro,,Bintaro,250,4,3,3500000000.0,2
dijual hot sale discovery bintaro,santi ,Bintaro,,Bintaro,127,3,3,4200000000.0,0
dijual hot sale discovery bintaro,santi ,Bintaro,,Bintaro,200,6,4,3500000000.0,2
dijual hot sale sektor 9 bintaro,santi ,Bintaro,,Bintaro,142,3,3,2500000000.0,0
dijual rumah cluster flamingo bintaro jaya sektor 9,santi ,Bintaro,,Bintaro,150,4,3,3350000000.0,0
dijual hunian bagus nyaman lingkungan asri strategis di discovery bintaro,santi ,Bintaro,,Bintaro,152,5,4,3700000000.0,0
dijual discovery bintaro,santi ,Bintaro,,Bintaro,149,4,3,4400000000.0,2
dijual rumah villa dago tol dijual cepat,clement francis ,,Ciputat,Ciputat,240,3,3,1400000000.0,2
dijual rumah cantik di discovery bintaro,santi ,Bintaro,,Bintaro,250,4,3,4150000000.000001,2
dijual rumah baru dua lantai dekat bsd,andy ,BSD,Serpong,Serpong,69,3,2,1200000000.0,0
dijual ciputat timur,sudianto ,,Ciputat,Ciputat,502,5,5,13000000000.0,1
dijual nayla residence bsd,andy ,BSD,Serpong,Serpong,69,3,2,1200000000.0,0
dijual rumah bebas banjir strategis jual cepat dekat tol siap kpr,yonathan mouses ,Pamulang,Pamulang,,45,3,1,948000000.0,0
dijual kebayoran bintaro residence,santi ,Bintaro,,Bintaro,420,5,3,7950000000.0,1
dijual kebayoran bintaro,santi ,Bintaro,,Bintaro,290,4,3,7500000000.0,2
